prog_name,prog_opt,argparse,parse,typecheck,lower,make_synth,optimize,codegen
camera,all,363,0,118,347,59,5008,475
camera,except_sbuild_simpl,581,0,86,315,66,5555,928
camera,except_letstm_simpl,364,0,117,323,52,1454,646
camera,except_stm_simpl,562,0,85,318,65,1344,659
camera,except_fuse,364,0,117,316,51,1616,504
camera,except_fission,367,0,116,321,54,5175,593
camera,small_buffers,570,0,85,315,84,5596,830
camera,small_buffers_and_latmatch,592,0,86,318,75,5458,552
conv1d,all,323,0,125,106,7,323,105
conv1d,except_sbuild_simpl,544,0,97,85,8,345,160
conv1d,except_letstm_simpl,330,0,118,102,8,267,180
conv1d,except_stm_simpl,541,0,95,77,8,226,217
conv1d,except_fuse,328,0,118,104,8,271,122
conv1d,except_fission,327,0,118,100,8,318,109
conv1d,small_buffers,573,0,97,91,7,368,148
conv1d,small_buffers_and_latmatch,547,0,95,82,8,366,158
conv2d,all,325,0,87,180,14,928,265
conv2d,except_sbuild_simpl,543,0,65,160,15,1156,355
conv2d,except_letstm_simpl,335,0,85,182,16,631,337
conv2d,except_stm_simpl,566,0,64,164,15,828,396
conv2d,except_fuse,337,0,86,177,15,619,297
conv2d,except_fission,327,0,85,184,16,843,286
conv2d,small_buffers,551,0,65,174,15,1183,406
conv2d,small_buffers_and_latmatch,558,0,67,166,15,1079,354
convb2b,all,341,0,94,229,22,1254,323
convb2b,except_sbuild_simpl,560,0,74,217,24,1561,390
convb2b,except_letstm_simpl,340,0,95,234,23,939,368
convb2b,except_stm_simpl,537,0,69,205,22,875,544
convb2b,except_fuse,359,0,108,228,22,886,352
convb2b,except_fission,347,0,104,241,22,1469,372
convb2b,small_buffers,552,0,73,211,26,1497,406
convb2b,small_buffers_and_latmatch,557,0,69,217,25,1579,403
dot,all,308,0,20,153,18,427,142
dot,except_sbuild_simpl,532,0,1,139,8,453,369
dot,except_letstm_simpl,329,0,20,154,16,308,199
dot,except_stm_simpl,533,0,1,136,8,213,176
dot,except_fuse,328,0,20,159,12,309,164
dot,except_fission,337,0,20,157,12,382,145
dot,small_buffers,449,0,0,113,7,394,152
dot,small_buffers_and_latmatch,484,0,0,126,8,342,148
jacobi,all,329,0,79,171,13,596,173
jacobi,except_sbuild_simpl,549,0,59,137,13,647,240
jacobi,except_letstm_simpl,330,0,72,167,13,480,240
jacobi,except_stm_simpl,570,0,62,152,13,494,295
jacobi,except_fuse,337,0,75,192,12,501,203
jacobi,except_fission,327,0,71,170,13,591,158
jacobi,small_buffers,568,0,66,140,12,691,184
jacobi,small_buffers_and_latmatch,551,0,64,140,13,741,176
map,all,254,0,14,103,5,168,99
map,except_sbuild_simpl,280,0,13,108,6,135,115
map,except_letstm_simpl,257,0,13,105,5,195,125
map,except_stm_simpl,268,0,13,112,6,119,130
map,except_fuse,253,0,13,105,5,195,110
map,except_fission,250,0,13,105,5,168,105
map,small_buffers,268,0,12,103,6,151,112
map,small_buffers_and_latmatch,450,0,0,90,4,136,113
matmat,all,377,0,16,278,27,1964,194
matmat,except_sbuild_simpl,574,0,1,237,31,1774,311
matmat,except_letstm_simpl,348,0,16,275,28,1471,276
matmat,except_stm_simpl,566,0,1,232,28,1196,342
matmat,except_fuse,373,0,16,259,25,1277,206
matmat,except_fission,351,0,15,278,27,1871,211
matmat,small_buffers,573,0,1,249,27,1939,218
matmat,small_buffers_and_latmatch,562,0,1,242,30,2102,299
matvec,all,331,0,21,214,19,950,152
matvec,except_sbuild_simpl,610,0,5,220,21,966,154
matvec,except_letstm_simpl,355,0,21,206,15,801,247
matvec,except_stm_simpl,554,0,4,165,13,460,243
matvec,except_fuse,336,0,20,215,22,730,168
matvec,except_fission,339,0,20,206,15,778,155
matvec,small_buffers,534,0,4,157,13,803,156
matvec,small_buffers_and_latmatch,540,0,4,161,16,873,145
sharpen,all,339,0,86,204,19,976,276
sharpen,except_sbuild_simpl,549,0,65,174,19,1323,459
sharpen,except_letstm_simpl,323,0,85,202,18,715,381
sharpen,except_stm_simpl,539,0,70,171,20,823,448
sharpen,except_fuse,341,0,86,203,17,696,339
sharpen,except_fission,338,0,86,195,18,967,272
sharpen,small_buffers,542,0,63,169,17,1310,338
sharpen,small_buffers_and_latmatch,537,0,65,167,19,1161,323
sobel,all,358,0,96,299,42,4197,631
sobel,except_sbuild_simpl,577,0,70,263,49,4311,816
sobel,except_letstm_simpl,347,0,94,292,43,2118,810
sobel,except_stm_simpl,576,0,73,275,42,1900,941
sobel,except_fuse,361,0,93,295,42,1779,753
sobel,except_fission,352,0,95,298,43,5674,387
sobel,small_buffers,565,0,77,300,61,4536,719
sobel,small_buffers_and_latmatch,583,0,69,280,40,4444,736
