prog_name,prog_opt,fmax
camera,all,191.61
camera,except_sbuild_simpl,192.42
camera,except_letstm_simpl,193.57
camera,except_stm_simpl,190.59
camera,except_fuse,192.31
camera,except_fission,164.8
camera,small_buffers,191.46
camera,small_buffers_and_latmatch,194.06
conv1d,all,477.55
conv1d,except_sbuild_simpl,374.11
conv1d,except_letstm_simpl,213.49
conv1d,except_stm_simpl,213.49
conv1d,except_fuse,409.5
conv1d,except_fission,477.55
conv1d,small_buffers,477.55
conv1d,small_buffers_and_latmatch,477.55
conv2d,all,279.25
conv2d,except_sbuild_simpl,292.57
conv2d,except_letstm_simpl,201.49
conv2d,except_stm_simpl,201.49
conv2d,except_fuse,259.27
conv2d,except_fission,279.25
conv2d,small_buffers,279.25
conv2d,small_buffers_and_latmatch,279.25
convb2b,all,278.78
convb2b,except_sbuild_simpl,255.69
convb2b,except_letstm_simpl,198.65
convb2b,except_stm_simpl,198.65
convb2b,except_fuse,249.13
convb2b,except_fission,278.78
convb2b,small_buffers,278.78
convb2b,small_buffers_and_latmatch,278.78
dot,all,542.3
dot,except_sbuild_simpl,542.3
dot,except_letstm_simpl,182.88
dot,except_stm_simpl,182.88
dot,except_fuse,256.28
dot,except_fission,542.3
dot,small_buffers,542.3
dot,small_buffers_and_latmatch,542.3
map,all,645.16
map,except_sbuild_simpl,645.16
map,except_letstm_simpl,343.88
map,except_stm_simpl,343.88
map,except_fuse,645.16
map,except_fission,645.16
map,small_buffers,645.16
map,small_buffers_and_latmatch,645.16
sharpen,all,194.48
sharpen,except_sbuild_simpl,198.65
sharpen,except_letstm_simpl,192.53
sharpen,except_stm_simpl,192.53
sharpen,except_fuse,191.86
sharpen,except_fission,169.72
sharpen,small_buffers,195.77
sharpen,small_buffers_and_latmatch,216.4
