prog_name,prog_opt,latency,sim_success
camera,all,15363,True
camera,except_sbuild_simpl,15363,True
camera,except_letstm_simpl,,False
camera,except_stm_simpl,15384,True
camera,except_fuse,,False
camera,except_fission,,False
camera,small_buffers,15363,True
camera,small_buffers_and_latmatch,15363,True
conv1d,all,16,True
conv1d,except_sbuild_simpl,16,True
conv1d,except_letstm_simpl,,False
conv1d,except_stm_simpl,21,True
conv1d,except_fuse,,False
conv1d,except_fission,,False
conv1d,small_buffers,16,True
conv1d,small_buffers_and_latmatch,16,True
conv2d,all,30721,True
conv2d,except_sbuild_simpl,30721,True
conv2d,except_letstm_simpl,,False
conv2d,except_stm_simpl,30726,True
conv2d,except_fuse,,False
conv2d,except_fission,,False
conv2d,small_buffers,30721,True
conv2d,small_buffers_and_latmatch,30721,True
convb2b,all,30721,True
convb2b,except_sbuild_simpl,30721,True
convb2b,except_letstm_simpl,,False
convb2b,except_stm_simpl,30732,True
convb2b,except_fuse,,False
convb2b,except_fission,,False
convb2b,small_buffers,30721,True
convb2b,small_buffers_and_latmatch,30721,True
dot,all,841,True
dot,except_sbuild_simpl,841,True
dot,except_letstm_simpl,846,True
dot,except_stm_simpl,846,True
dot,except_fuse,842,True
dot,except_fission,841,True
dot,small_buffers,841,True
dot,small_buffers_and_latmatch,841,True
jacobi,all,4096,True
jacobi,except_sbuild_simpl,4096,True
jacobi,except_letstm_simpl,,False
jacobi,except_stm_simpl,4101,True
jacobi,except_fuse,,False
jacobi,except_fission,,False
map,all,200,True
map,except_sbuild_simpl,200,True
map,except_letstm_simpl,,False
map,except_stm_simpl,202,True
map,except_fuse,,False
map,except_fission,200,True
map,small_buffers,200,True
map,small_buffers_and_latmatch,200,True
matmat,all,1048579,True
matmat,except_sbuild_simpl,1048579,True
matmat,except_letstm_simpl,1048587,True
matmat,except_stm_simpl,1048585,True
matmat,except_fuse,1048581,True
matmat,except_fission,1048578,True
matmat,small_buffers,1048579,True
matmat,small_buffers_and_latmatch,1048579,True
matvec,all,65538,True
matvec,except_sbuild_simpl,65538,True
matvec,except_letstm_simpl,,False
matvec,except_stm_simpl,65543,True
matvec,except_fuse,,False
matvec,except_fission,,False
matvec,small_buffers,65538,True
matvec,small_buffers_and_latmatch,65538,True
matvec_1,all,65538,True
matvec_1,except_sbuild_simpl,65538,True
matvec_1,except_letstm_simpl,65549,True
matvec_1,except_fuse,65541,True
matvec_1,except_fission,65538,True
matvec_1,small_buffers,65538,True
matvec_1,small_buffers_and_latmatch,65538,True
sharpen,all,30721,True
sharpen,except_sbuild_simpl,30721,True
sharpen,except_letstm_simpl,,False
sharpen,except_stm_simpl,30731,True
sharpen,except_fuse,,False
sharpen,except_fission,,False
sharpen,small_buffers,30721,True
sharpen,small_buffers_and_latmatch,30721,True
sobel,all,30768,True
sobel,except_sbuild_simpl,30768,True
sobel,except_letstm_simpl,,False
sobel,except_stm_simpl,30853,True
sobel,except_fuse,,False
sobel,except_fission,,False
sobel,small_buffers,30768,True
sobel,small_buffers_and_latmatch,30768,True
sqrt,all,65583,True
sqrt,except_sbuild_simpl,65586,True
sqrt,except_letstm_simpl,65623,True
sqrt,except_fuse,65587,True
sqrt,except_fission,65553,True
sqrt,small_buffers,65583,True
sqrt,small_buffers_and_latmatch,65583,True
