prog_name,prog_opt,alm,bram,dsp
map,none,48,1,0
map,simpl,6,0,0
map,latmatch,6,0,0
map,fuse,6,0,0
dot,none,150,4,1
dot,simpl,39,0,1
dot,latmatch,39,0,1
dot,fuse,30,0,1
conv1d,none,179,6,1
conv1d,simpl,54,0,0
conv1d,latmatch,54,0,0
conv1d,fuse,30,0,0
conv2d,none,32457,138,9
conv2d,simpl,31838,14,0
conv2d,latmatch,32037,14,0
conv2d,fuse,30898,0,0
map,nosimpl,48,1,0
dot,nosimpl,150,4,1
conv1d,nosimpl,179,6,1
conv2d,nosimpl,32570,138,9
sharpen,none,32600,142,9
sharpen,simpl,31914,16,0
sharpen,latmatch,32321,16,0
sharpen,fuse,31013,2,0
sharpen,nosimpl,33240,142,9
convb2b,none,46903,201,13
convb2b,simpl,45639,19,0
convb2b,latmatch,45907,19,0
convb2b,fuse,44409,0,0
convb2b,nosimpl,47100,201,13
camera,none,138825,1105,30
camera,simpl,129569,106,0
camera,latmatch,131808,106,0
camera,fuse,124971,35,0
camera,nosimpl,144114,1105,30
