bench_name,bench_throughput,argparse,parse,typecheck,lower,make_synth,optimize,codegen
bigcamera,1/4,196,140,173,1295,97,19241,1300
bigcamera,1,233,160,175,1168,114,7857,746
bigcamera,2,233,136,143,968,86,7355,681
bigcamera,4,239,133,149,1013,93,7469,636
bigcamera,8,239,130,141,960,93,7880,631
bigcamera,16,232,131,142,1037,104,7659,732
bigconv2d,1/3,234,83,87,469,38,2667,325
bigconv2d,1,226,82,69,354,60,2556,328
bigconv2d,2,234,79,65,315,41,2887,345
bigconv2d,4,236,80,69,304,38,3540,344
bigconv2d,8,236,80,65,313,39,3134,360
bigconv2d,16,236,80,66,321,42,2869,325
bigconvb2b,1/3,238,91,112,557,54,3396,420
bigconvb2b,1,225,94,83,500,60,2738,429
bigconvb2b,2,225,87,75,393,43,3144,369
bigconvb2b,4,239,85,74,390,52,3463,490
bigconvb2b,8,235,86,74,386,48,3918,408
bigconvb2b,16,233,86,74,387,50,3676,431
bigjacobi,1/3,235,82,89,463,34,2806,241
bigjacobi,1,226,79,71,357,38,2575,208
bigjacobi,2,239,79,63,316,40,2057,152
bigjacobi,4,241,79,67,326,40,2227,161
bigjacobi,8,232,79,67,298,39,2364,194
bigjacobi,16,234,79,66,321,40,2302,161
bigmmm,1/256,225,65,52,225,15,871,211
bigmmm,1/128,241,73,62,237,17,894,185
bigmmm,1/64,241,74,63,244,19,924,183
bigmmm,1/32,236,73,62,250,18,951,186
bigmmm,1/16,236,81,68,253,28,988,166
bigmvm,1/256,240,64,52,185,11,643,155
bigmvm,1/128,234,69,59,202,14,764,190
bigmvm,1/64,236,70,59,200,15,790,161
bigmvm,1/32,234,70,59,211,16,792,162
bigmvm,1/16,240,71,59,210,16,881,173
bigsharpen,1/3,238,88,97,479,38,3082,396
bigsharpen,1,232,85,78,371,39,2319,325
bigsharpen,2,224,90,71,347,42,2767,407
bigsharpen,4,228,80,73,322,45,3054,465
bigsharpen,8,238,94,81,329,44,3121,350
bigsharpen,16,225,85,68,348,43,3201,447
bigsobel,1/3,230,129,136,790,50,5930,721
bigsobel,1,240,133,116,739,58,6701,745
bigsobel,2,231,128,108,675,61,7804,1242
bigsobel,4,404,159,131,747,76,7626,841
bigsobel,8,242,131,110,778,59,7908,762
bigsobel,16,240,136,110,715,62,7506,848
conv1d,1/3,237,77,69,243,15,1004,149
conv1d,1,238,70,56,194,17,526,125
conv1d,2,232,73,56,198,16,771,135
conv1d,4,237,73,57,198,16,765,136
conv1d,8,237,72,58,209,16,764,151
conv1d,16,236,73,59,122,27,343,133
dot,1/840,235,66,28,133,9,258,102
dot,1/420,229,66,29,152,12,419,157
dot,1/280,238,67,29,161,15,421,160
dot,1/210,235,71,30,177,12,400,144
dot,1/168,239,68,29,165,15,418,142
dot,1/140,235,67,29,167,17,422,167
dot,1/120,234,72,30,165,18,442,152
dot,1/105,234,67,29,173,16,450,173
map,1,232,59,25,104,7,143,78
map,2,227,62,25,117,7,161,91
map,4,228,61,24,111,7,151,90
map,5,232,64,26,121,8,154,89
map,8,232,65,25,130,8,152,91
map,10,228,63,24,111,7,148,90
map,20,233,62,24,115,11,142,88
map,40,229,63,26,135,8,133,89
map,200,230,59,23,32,17,145,113
