bench_name,bench_throughput,language,fmax
map,1,verilog,384.62
map,1,vhdl,299.94
map,2,verilog,384.76
map,2,vhdl,333.78
map,4,verilog,380.23
map,4,vhdl,377.64
map,5,verilog,359.2
map,5,vhdl,378.36
map,8,verilog,372.44
map,8,vhdl,354.86
map,10,verilog,379.36
map,10,vhdl,389.86
map,20,verilog,356.0
map,20,vhdl,309.69
map,40,verilog,
map,40,vhdl,
map,200,verilog,
map,200,vhdl,
sum,1/840,verilog,235.79
sum,1/840,vhdl,220.51
sum,1/420,verilog,232.18
sum,1/420,vhdl,188.89
sum,1/280,verilog,239.35
sum,1/280,vhdl,190.95
sum,1/210,verilog,160.38
sum,1/210,vhdl,193.42
sum,1/168,verilog,168.29
sum,1/168,vhdl,189.5
sum,1/140,verilog,157.41
sum,1/140,vhdl,191.02
sum,1/120,verilog,164.66
sum,1/120,vhdl,193.27
sum,1/105,verilog,125.23
sum,1/105,vhdl,189.07
