bench_name,bench_throughput,language,fmax_lower,fmax_upper,steps
map,1,verilog,385,386,200:pass;377:pass;396:fail;382:pass;384:pass;387:fail;385:pass;386:fail
map,1,vhdl,299,300,200:pass;269:pass;324:fail;299:pass;311:fail;305:fail;302:fail;300:fail
map,2,verilog,376,377,200:pass;362:pass;395:fail;377:fail;371:pass;376:pass
map,2,vhdl,336,337,200:pass;303:pass;323:pass;348:fail;338:fail;328:pass;333:pass;335:pass;336:pass;337:fail
map,4,verilog,384,385,200:pass;358:pass;393:fail;384:pass;388:fail;386:fail;385:fail
map,4,vhdl,365,366,200:pass;334:pass;395:fail;362:pass;363:pass;369:fail;366:fail;364:pass;365:pass
map,5,verilog,374,375,200:pass;357:pass;390:fail;369:pass;375:fail;374:pass
map,5,vhdl,374,375,200:pass;339:pass;358:pass;409:fail;369:pass;372:pass;375:fail;373:pass;374:pass
map,8,verilog,380,381,200:pass;315:pass;372:pass;387:fail;379:pass;383:fail;381:fail;380:pass
map,8,vhdl,370,371,200:pass;368:pass;388:fail;378:fail;373:fail;370:pass;371:fail
map,10,verilog,372,373,200:pass;337:pass;373:fail;372:pass
map,10,vhdl,370,371,200:pass;275:pass;348:pass;396:fail;373:fail;360:pass;366:pass;369:pass;371:fail;370:pass
map,20,verilog,381,382,200:pass;349:pass;384:fail;366:pass;381:pass;382:fail
map,20,vhdl,350,351,200:pass;290:pass;358:fail;350:pass;354:fail;352:fail;351:fail
map,40,verilog,,,
map,40,vhdl,,,
map,200,verilog,,,
map,200,vhdl,,,
sum,1/840,verilog,223,224,200:pass;223:pass;228:fail;227:fail;225:fail;224:fail
sum,1/840,vhdl,235,236,200:pass;203:pass;219:pass;235:pass;251:fail;243:fail;239:fail;237:fail;236:fail
sum,1/420,verilog,234,235,200:pass;235:fail;232:pass;234:pass
sum,1/420,vhdl,200,201,200:pass;210:fail;205:fail;202:fail;201:fail
sum,1/280,verilog,231,232,200:pass;238:fail;231:pass;234:fail;232:fail
sum,1/280,vhdl,194,195,200:fail;178:pass;189:pass;197:fail;196:fail;194:pass;195:fail
sum,1/210,verilog,159,160,200:fail;147:pass;160:fail;157:pass;158:pass;159:pass
sum,1/210,vhdl,190,191,200:fail;182:pass;191:fail;189:pass;190:pass
sum,1/168,verilog,162,163,200:fail;159:pass;169:fail;163:fail;162:pass
sum,1/168,vhdl,193,194,200:fail;182:pass;188:pass;194:fail;193:pass
sum,1/140,verilog,154,155,200:fail;144:pass;157:fail;154:pass;155:fail
sum,1/140,vhdl,196,197,200:fail;184:pass;190:pass;194:pass;198:fail;196:pass;197:fail
sum,1/120,verilog,164,165,200:fail;158:pass;167:fail;166:fail;163:pass;164:pass;165:fail
sum,1/120,vhdl,200,201,200:pass;213:fail;206:fail;203:fail;201:fail
sum,1/105,verilog,121,122,200:fail;107:pass;120:pass;160:fail;140:fail;125:fail;122:fail;121:pass
sum,1/105,vhdl,188,189,200:fail;189:fail;176:pass;188:pass
dot,1/840,verilog,220,221,200:pass;230:fail;220:pass;225:fail;222:fail;221:fail
dot,1/840,vhdl,250,251,200:pass;263:fail;260:fail;249:pass;254:fail;251:fail;250:pass
dot,1/420,verilog,220,221,200:pass;230:fail;220:pass;225:fail;222:fail;221:fail
dot,1/420,vhdl,220,221,200:pass;230:fail;220:pass;225:fail;222:fail;221:fail
dot,1/280,verilog,220,221,200:pass;230:fail;220:pass;225:fail;222:fail;221:fail
dot,1/280,vhdl,249,250,200:pass;258:fail;257:fail;252:fail;246:pass;249:pass;250:fail
dot,1/210,verilog,220,221,200:pass;223:fail;220:pass;221:fail
dot,1/210,vhdl,253,254,200:pass;253:pass;264:fail;258:fail;255:fail;254:fail
dot,1/168,verilog,219,220,200:pass;230:fail;220:fail;217:pass;218:pass;219:pass
dot,1/168,vhdl,232,233,200:pass;267:fail;229:pass;234:fail;232:pass;233:fail
dot,1/140,verilog,185,186,200:fail;176:pass;180:pass;185:pass;188:fail;186:fail
dot,1/140,vhdl,184,185,200:fail;163:pass;189:fail;182:pass;185:fail;184:pass
dot,1/120,verilog,181,182,200:fail;170:pass;189:fail;181:pass;187:fail;183:fail;182:fail
dot,1/120,vhdl,189,190,200:fail;172:pass;192:fail;189:pass;190:fail
dot,1/105,verilog,154,155,200:fail;141:pass;153:pass;157:fail;155:fail;154:pass
dot,1/105,vhdl,177,178,200:fail;178:fail;163:pass;170:pass;174:pass;176:pass;177:pass
