bench_name,bench_throughput,language,latency,sim_success
dot,1/840,verilog,850,True
dot,1/420,verilog,432,True
dot,1/280,verilog,292,True
dot,1/210,verilog,222,True
dot,1/168,verilog,180,True
dot,1/140,verilog,152,True
dot,1/120,verilog,132,True
dot,1/105,verilog,117,True
map,1,verilog,205,True
map,2,verilog,105,True
map,4,verilog,55,True
map,5,verilog,45,True
map,8,verilog,30,True
map,10,verilog,25,True
map,20,verilog,15,True
map,40,verilog,10,True
map,200,verilog,6,True
sum,1/840,verilog,847,True
sum,1/420,verilog,429,True
sum,1/280,verilog,289,True
sum,1/210,verilog,219,True
sum,1/168,verilog,177,True
sum,1/140,verilog,149,True
sum,1/120,verilog,129,True
sum,1/105,verilog,114,True
dot,1/840,vhdl,842,True
dot,1/420,vhdl,424,True
dot,1/280,vhdl,284,True
dot,1/210,vhdl,214,True
dot,1/168,vhdl,172,True
dot,1/140,vhdl,144,True
dot,1/120,vhdl,124,True
dot,1/105,vhdl,109,True
map,1,vhdl,201,True
map,2,vhdl,101,True
map,4,vhdl,51,True
map,5,vhdl,41,True
map,8,vhdl,26,True
map,10,vhdl,21,True
map,20,vhdl,11,True
map,40,vhdl,6,True
map,200,vhdl,2,True
sum,1/840,vhdl,841,True
sum,1/420,vhdl,423,True
sum,1/280,vhdl,283,True
sum,1/210,vhdl,213,True
sum,1/168,vhdl,171,True
sum,1/140,vhdl,143,True
sum,1/120,vhdl,123,True
sum,1/105,vhdl,108,True
conv1d,2,verilog,18,True
conv1d,2,vhdl,17,True
conv1d,1/3,verilog,61,False
conv1d,1/3,vhdl,87,True
conv1d,1,verilog,26,True
conv1d,1,vhdl,24,True
conv1d,4,verilog,14,True
conv1d,4,vhdl,13,True
conv1d,8,verilog,12,True
conv1d,8,vhdl,11,True
conv1d,16,verilog,11,True
conv1d,16,vhdl,2,True
smallconv2d,1/9,verilog,163,False
smallconv2d,1/9,vhdl,208,True
smallconv2d,1/3,verilog,62,False
smallconv2d,1/3,vhdl,95,True
smallconv2d,1,verilog,27,True
smallconv2d,1,vhdl,32,True
smallconv2d,2,verilog,17,True
smallconv2d,2,vhdl,27,True
smallconv2d,4,verilog,13,True
smallconv2d,4,vhdl,23,True
smallconv2d,8,verilog,11,True
smallconv2d,8,vhdl,21,True
smallconv2d,16,verilog,10,True
smallconv2d,16,vhdl,2,True
smallconvb2b,1/9,verilog,173,False
smallconvb2b,1/9,vhdl,223,True
smallconvb2b,1/3,verilog,70,False
smallconvb2b,1/3,vhdl,107,True
smallconvb2b,1,verilog,33,True
smallconvb2b,1,vhdl,42,True
smallconvb2b,2,verilog,21,True
smallconvb2b,2,vhdl,40,True
smallconvb2b,4,verilog,17,True
smallconvb2b,4,vhdl,36,True
smallconvb2b,8,verilog,15,True
smallconvb2b,8,vhdl,34,True
smallconvb2b,16,vhdl,2,True
smallconvb2b,16,verilog,14,True
smallsharpen,1/9,verilog,163,False
smallsharpen,1/9,vhdl,434,True
smallsharpen,1/3,verilog,62,False
smallsharpen,1/3,vhdl,306,True
smallsharpen,1,verilog,27,False
smallsharpen,1,vhdl,33,True
smallsharpen,2,verilog,17,False
smallsharpen,2,vhdl,28,True
smallsharpen,4,verilog,13,False
smallsharpen,4,vhdl,24,True
smallsharpen,8,verilog,,False
smallsharpen,8,vhdl,22,True
smallsharpen,16,verilog,,False
smallsharpen,16,vhdl,2,True
