bench_name,bench_throughput,language,alm,bram,dsp
bigcamera,1/4,verilog,2770,49,12
bigcamera,1/4,vhdl,2426,57,9
bigcamera,1,verilog,2701,46,0
bigcamera,1,vhdl,1178,40,0
bigcamera,2,verilog,4843,52,0
bigcamera,2,vhdl,1453,49,0
bigcamera,4,verilog,9393,80,0
bigcamera,4,vhdl,2564,67,0
bigcamera,8,verilog,,,
bigcamera,8,vhdl,,,
bigcamera,16,verilog,,,
bigcamera,16,vhdl,,,
bigconv2d,1/3,verilog,532,8,4
bigconv2d,1/3,vhdl,354,7,3
bigconv2d,1,verilog,600,8,0
bigconv2d,1,vhdl,222,8,0
bigconv2d,2,verilog,1114,8,0
bigconv2d,2,vhdl,244,8,0
bigconv2d,4,verilog,2135,8,0
bigconv2d,4,vhdl,420,8,0
bigconv2d,8,verilog,4264,14,0
bigconv2d,8,vhdl,788,14,0
bigconv2d,16,verilog,,,
bigconv2d,16,vhdl,,,
bigconvb2b,1/3,verilog,864,12,7
bigconvb2b,1/3,vhdl,561,10,5
bigconvb2b,1,verilog,888,11,0
bigconvb2b,1,vhdl,274,11,0
bigconvb2b,2,verilog,1652,11,0
bigconvb2b,2,vhdl,309,11,0
bigconvb2b,4,verilog,3153,11,0
bigconvb2b,4,vhdl,568,11,0
bigconvb2b,8,verilog,6307,20,0
bigconvb2b,8,vhdl,1069,20,0
bigconvb2b,16,verilog,,,
bigconvb2b,16,vhdl,,,
bigmmm,1/256,verilog,160,65,1
bigmmm,1/256,vhdl,159,65,1
bigmmm,1/128,verilog,182,65,1
bigmmm,1/128,vhdl,165,65,1
bigmmm,1/64,verilog,277,66,2
bigmmm,1/64,vhdl,214,66,2
bigmmm,1/32,verilog,520,68,4
bigmmm,1/32,vhdl,348,68,4
bigmmm,1/16,verilog,886,59,8
bigmmm,1/16,vhdl,492,59,8
bigmvm,1/256,verilog,89,1,1
bigmvm,1/256,vhdl,67,1,1
bigmvm,1/128,verilog,113,1,1
bigmvm,1/128,vhdl,83,1,1
bigmvm,1/64,verilog,244,2,2
bigmvm,1/64,vhdl,119,2,2
bigmvm,1/32,verilog,440,4,4
bigmvm,1/32,vhdl,200,4,4
bigmvm,1/16,verilog,785,7,8
bigmvm,1/16,vhdl,267,7,8
bigsharpen,1/3,verilog,671,10,4
bigsharpen,1/3,vhdl,437,9,3
bigsharpen,1,verilog,748,10,0
bigsharpen,1,vhdl,308,10,0
bigsharpen,2,verilog,1424,12,0
bigsharpen,2,vhdl,373,12,0
bigsharpen,4,verilog,2695,16,0
bigsharpen,4,vhdl,656,16,0
bigsharpen,8,verilog,5339,29,0
bigsharpen,8,vhdl,1244,28,0
bigsharpen,16,verilog,,,
bigsharpen,16,vhdl,,,
bigsobel,1/3,verilog,,,
bigsobel,1/3,vhdl,2377,12,32
bigsobel,1,verilog,4660,99,27
bigsobel,1,vhdl,2295,18,26
bigsobel,2,verilog,9432,190,54
bigsobel,2,vhdl,4204,28,51
bigsobel,4,verilog,18639,372,108
bigsobel,4,vhdl,8551,46,102
bigsobel,8,verilog,36995,742,216
bigsobel,8,vhdl,16538,90,204
bigsobel,16,verilog,,,
bigsobel,16,vhdl,,,
conv1d,1/3,verilog,42,0,1
conv1d,1/3,vhdl,39,0,1
conv1d,1,verilog,35,0,0
conv1d,1,vhdl,10,0,0
conv1d,2,verilog,64,0,0
conv1d,2,vhdl,14,0,0
conv1d,4,verilog,123,0,0
conv1d,4,vhdl,22,0,0
conv1d,8,verilog,240,0,0
conv1d,8,vhdl,38,0,0
conv1d,16,verilog,474,0,0
conv1d,16,vhdl,66,0,0
dot,1/840,verilog,59,0,1
dot,1/840,vhdl,29,0,1
dot,1/420,verilog,75,0,1
dot,1/420,vhdl,29,0,1
dot,1/280,verilog,100,0,2
dot,1/280,vhdl,39,0,2
dot,1/210,verilog,166,0,2
dot,1/210,vhdl,30,0,2
dot,1/168,verilog,185,0,3
dot,1/168,vhdl,51,0,3
dot,1/140,verilog,208,0,3
dot,1/140,vhdl,71,0,3
dot,1/120,verilog,233,0,4
dot,1/120,vhdl,51,0,4
dot,1/105,verilog,354,0,4
dot,1/105,vhdl,35,0,4
map,1,verilog,10,0,0
map,1,vhdl,6,0,0
map,2,verilog,18,0,0
map,2,vhdl,11,0,0
map,4,verilog,35,0,0
map,4,vhdl,20,0,0
map,5,verilog,44,0,0
map,5,vhdl,24,0,0
map,8,verilog,68,0,0
map,8,vhdl,38,0,0
map,10,verilog,85,0,0
map,10,vhdl,47,0,0
map,20,verilog,170,0,0
map,20,vhdl,92,0,0
map,40,verilog,,,
map,40,vhdl,,,
map,200,verilog,,,
map,200,vhdl,,,
