bench_name,bench_throughput,language,fmax
camera,-1,shir,221.68
camera,-1,sirop,244.68
conv1d,-1,shir,298.6
conv1d,-1,sirop,645.16
conv2d,-1,shir,253.49
conv2d,-1,sirop,322.06
convb2b,-1,shir,226.96
convb2b,-1,sirop,275.86
dot,-1,shir,284.66
dot,-1,sirop,444.05
jacobi,-1,shir,574.05
jacobi,-1,sirop,423.73
map,-1,shir,645.16
map,-1,sirop,645.16
matmat,-1,shir,219.49
matmat,-1,sirop,211.37
matvec,-1,shir,280.27
matvec,-1,sirop,278.16
sharpen,-1,shir,243.31
sharpen,-1,sirop,221.63
sobel,-1,shir,181.06
sobel,-1,sirop,223.41
