bench_name,bench_throughput,language,latency,sim_success
camera,-1,shir,46015,True
camera,-1,sirop,15363,True
conv1d,-1,shir,19,True
conv1d,-1,sirop,16,True
conv2d,-1,shir,30723,True
conv2d,-1,sirop,30721,True
convb2b,-1,shir,30727,True
convb2b,-1,sirop,30721,True
dot,-1,shir,844,True
dot,-1,sirop,841,True
map,-1,shir,200,True
map,-1,sirop,200,True
matmat,-1,shir,1058291,True
matmat,-1,sirop,1048579,True
matvec,-1,shir,65801,True
matvec,-1,sirop,65538,True
sharpen,-1,shir,138127,True
sharpen,-1,sirop,30721,True
sobel,-1,shir,138185,True
sobel,-1,sirop,30768,True
